dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2774/1.0075,1.0075,-120.08509218,22,14,12.77689724276712747446,12.77843234757851714375,12.77826924855595137960,89.99197095150090458538,89.99114575737474112930,89.99033340942237593708,2086.29154968954538463688
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2774/1.015,1.015,-120.01067872,25,14,12.87201062081367470104,12.87355715277079351551,12.87339283975923262794,89.99203084485472226846,89.99121174658516995986,89.99040540120514070391,2133.23136947199711110173
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2886/0.985,0.985,-120.04426356,18,14,12.49189806216720151409,12.49293851636728730268,12.49105043371285176849,89.99178517615099957550,89.99094108191485731174,89.99011091806674922653,1949.35968196337160296914
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2886/0.9925,0.9925,-120.09888792,8,14,12.58701403629288887611,12.58806241222698094835,12.58615995358857269685,89.99184783130674861118,89.99101011386505007859,89.99018622329638139738,1994.22811337345668546857
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2886/1.0,1.0,-120.11624722,1,14,12.68213001042569280815,12.68318630809777909821,12.68126947337365960284,89.99190954657642225210,89.99107811030331114333,89.99026039891491686337,2039.77980727253146415996
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2886/1.0075,1.0075,-120.08525563,17,14,12.77724598456545242179,12.77831020397943215861,12.77637899316789976027,89.99197034295136387485,89.99114509435598386390,89.99033347015012611244,2086.01992686893002244778
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2886/1.015,1.015,-120.01070052,22,14,12.87236195871201192484,12.87343409987170286579,12.87148851307109212401,89.99203024080244456717,89.99121108846584564102,89.99040546148411166428,2132.95363537195327888137
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2915/0.985,0.985,-119.93544458,20,14,12.53479117205241648674,12.53712443952201135217,12.53500897392314013908,89.99181432942486237682,89.99097279157980028017,89.99014560254833691869,1969.87955296260074636094
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2915/0.9925,0.9925,-119.95996889,16,14,12.63023374347972780630,12.63258477648431414003,12.63045320350105102555,89.99187676425113542168,89.99104158389520147708,89.99022064566343279912,2015.22029045768295913357
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2915/1.0,1.0,-119.96489502,1,14,12.72567631491412945001,12.72804511335768049571,12.72589743298829315078,89.99193826249665372757,89.99110934429341816258,89.99029456309933523228,2061.25148276614814115999
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2915/1.0075,1.0075,-119.92150302,19,14,12.82111888635546307317,12.82350545024186699882,12.82134166248465822195,89.99199884507896799174,89.99117609582050735996,89.99036737999604048115,2107.97834746233093850507
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2915/1.015,1.015,-119.95212197,74,14,12.91656145780357681122,12.91896578723663203306,12.91678589208994400564,89.99205853229733744798,89.99124186084133782110,89.99043912075047379046,2155.40610212250891219345
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2999/0.985,0.985,-119.93515552,19,14,12.53615042544563453479,12.53803064991495573262,12.53586188651753825287,89.99181491000896483933,89.99097356560233877953,89.99014647414700463994,1970.36962588867225392052
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2999/0.9925,0.9925,-119.96000197,16,14,12.63160334657299730611,12.63349788687731063962,12.63131261029549226531,89.99187734044735872389,89.99104235206831094770,89.99022151067530277305,2015.72164338392705494479
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2999/1.0,1.0,-119.96440744,1,14,12.72705626760744953330,12.72896512385073031389,12.72676333408277528097,89.99193883437088715771,89.99111010670485736241,89.99029542162322413172,2061.76428748191563498496
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2999/1.0075,1.0075,-119.98477458,83,14,12.82250918864883298831,12.82443236083496925368,12.82221405787918232187,89.99199941269556794546,89.99117685255606319615,89.99036823212855147839,2108.50277703930087701506
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/2999/1.015,1.015,-119.94692221,79,14,12.91796210979699412278,12.91989959782978416075,12.91766478168450766898,89.99205909571916953676,89.99124261198488621188,89.99043996658605586757,2155.94233091371570245953
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/3297/0.985,0.985,-119.91471050,21,14,12.51931639296830792037,12.51715734828936276383,12.51735977154217717270,89.99101391263228476370,89.98880031584671716449,89.99083249546573288353,1961.54846151538641772418
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/3297/0.9925,0.9925,-119.95189549,10,14,12.61464113546073785344,12.61246565183251580173,12.61266961597939094126,89.99108239519674223511,89.98888552563249227493,89.99090234908899282745,2006.69744228183519300107
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/3297/1.0,1.0,-119.96591547,1,14,12.70996587796528322236,12.70777395538402153798,12.70797946042804471816,89.99114985047562233614,89.98896945722750159613,89.99097115485858744062,2052.53395779728411961769
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/3297/1.0075,1.0075,-119.93052721,18,14,12.80529062048166980152,12.80308225894369333591,12.80328930488788647915,89.99121630141183027626,89.98905213917792744374,89.99103893617680678917,2099.06320353842541061090
/gpfs/scratch/vkb5066/bulkNew/poscarsBulkNew/3297/1.015,1.015,-119.90142909,100,14,12.90061536300963856115,12.89839056251135217222,12.89859914935866485240,89.99128177027012395525,89.98913359918618562906,89.99110571575421852501,2146.29037498195167526554
