dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,bg
/gpfs/scratch/vkb5066/agbii4/all/11837,11837,-118.12658843,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.478151
/gpfs/scratch/vkb5066/agbii4/all/11838,11838,-117.46654860,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3639569999999996
/gpfs/scratch/vkb5066/agbii4/all/11839,11839,-117.78228387,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.5340149999999997
/gpfs/scratch/vkb5066/agbii4/all/1184,1184,-117.50038634,15,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2817519999999996
/gpfs/scratch/vkb5066/agbii4/all/11840,11840,-117.37533792,15,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.0962720000000004
/gpfs/scratch/vkb5066/agbii4/all/11841,11841,-117.86719261,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.5083449999999994
/gpfs/scratch/vkb5066/agbii4/all/11842,11842,-117.37655078,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.226112
/gpfs/scratch/vkb5066/agbii4/all/11843,11843,-116.94015440,21,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2111399999999999
/gpfs/scratch/vkb5066/agbii4/all/11844,11844,-117.87876576,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.375629
/gpfs/scratch/vkb5066/agbii4/all/11845,11845,-116.94910929,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.0443290000000003
/gpfs/scratch/vkb5066/agbii4/all/11846,11846,-117.53041984,22,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.1931660000000002
/gpfs/scratch/vkb5066/agbii4/all/11847,11847,-117.92752212,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.5488460000000002
/gpfs/scratch/vkb5066/agbii4/all/11848,11848,-117.56900990,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.457919
/gpfs/scratch/vkb5066/agbii4/all/11849,11849,-117.36256656,20,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.22167
/gpfs/scratch/vkb5066/agbii4/all/1185,1185,-117.65406933,16,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.2152209999999997
/gpfs/scratch/vkb5066/agbii4/all/11850,11850,-117.85901133,11,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3373199999999996
/gpfs/scratch/vkb5066/agbii4/all/11851,11851,-117.87876636,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.3757440000000005
/gpfs/scratch/vkb5066/agbii4/all/11852,11852,-117.50337408,16,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.309946
/gpfs/scratch/vkb5066/agbii4/all/11853,11853,-117.02936216,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.1868009999999996
/gpfs/scratch/vkb5066/agbii4/all/11854,11854,-118.54905398,16,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.7963040000000001
/gpfs/scratch/vkb5066/agbii4/all/11855,11855,-117.91777711,14,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.4371330000000002
/gpfs/scratch/vkb5066/agbii4/all/11856,11856,-118.30549076,18,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6933459999999996
/gpfs/scratch/vkb5066/agbii4/all/11857,11857,-118.27498239,16,1,12.13399982450000000000,12.13399982450000000000,12.13399982450000000000,90,90,90,1786.53674458532328719069,1.6144860000000003
